class,chlorophyll,biovolume
kisel,11.000052,1.299994456
kisel,10.00004907,1.959991232
kisel,10.00004907,1.750007371
kisel,8.999958804,2.229996464
kisel,6.999998957,0.29399868
kisel,5.000010438,0.724002814
kisel,7.999987667,0.976998659
kisel,27.99987372,6.930971563
kisel,30.00007855,2.562004603
kisel,5.000010438,0.319001332
kisel,7.999987667,0.596998905
kisel,6.999998957,0.74700007
kisel,11.000052,0.334001432
kisel,6.999998957,0.590001618
kisel,26.00009001,2.875998735
kisel,14.00003739,2.470992767
kisel,14.00003739,1.944996155
kisel,25.00010438,0.595002305
kisel,7.999987667,1.557995408
kisel,31.00008666,13.58994254
kisel,16.99994315,11.45000309
kisel,12.0000402,8.780031541
kisel,11.000052,0.942000004
kisel,19.99995453,2.027999826
kisel,29.00012093,10.55996538
kisel,2.40000303,0.332000103
kisel,3.599986156,0.255999446
kisel,14.00003739,7.758973155
kisel,3.299991854,0.254000257
kisel,4.39998002,0.364999243
kisel,17.99996836,3.125986771
kisel,27.99987372,3.530007516
kisel,10.00004907,0.572999749
kisel,4.199980994,0.118000077
kisel,2.100005576,0.337999792
kisel,3.699989567,0.434000323
kisel,5.700021803,0.964997276
kisel,14.99999698,4.600983109
kisel,14.00003739,2.240995081
kisel,16.99994315,1.308000977
kisel,29.00012093,6.415006427
kisel,2.999993134,0.206999273
kisel,5.000010438,0.168999419
kisel,40.00002184,6.072011901
kisel,8.999958804,0.78000106
kisel,2.000005639,0.353999422
kisel,2.000005639,0.291000585
kisel,5.000010438,0.604998077
kisel,6.999998957,1.863991209
kisel,19.99995453,3.070990045
kisel,33.99998216,5.618023996
kisel,1,0.209000215
kisel,13.00000835,1.521003022
kisel,6.000003185,1.563004609
kisel,19.99995453,5.614991082
kisel,3.999982556,0.575998628
kisel,3.999982556,0.514001035
kisel,3.999982556,1.056001916
kisel,7.999987667,1.887003271
kisel,13.00000835,2.705995861
kisel,13.00000835,2.228993192
kisel,14.00003739,2.528003852
kisel,4.250004323,0.703997834
kisel,21.99994603,10.1400203
kisel,19.99995453,4.209988853
kisel,20.99994881,4.860007592
kisel,27.00008462,3.009999763
kisel,6.400012862,1.519999491
kisel,30.00007855,7.32497689
kisel,22.99990303,3.403995879
kisel,59.00015081,10.26397303
kisel,5.000010438,0.612001834
kisel,5.099997247,0.706000029
kisel,4.699988209,1.238994297
kisel,27.00008462,9.066986865
kisel,21.99994603,3.503000896
kisel,5.500010493,1.060998027
