id,enzyme1,enzyme2,enzyme3,enzyme4,enzyme5,enzyme6
1,56.25,106.329,90.756,94.65,162.791,114.737
2,75,144.726,203.361,131.687,255.814,112.632
3,115.625,136.287,672.269,123.457,191.86,153.684
4,68.75,154.43,183.193,113.169,133.721,116.842
5,96.875,385.232,140.336,117.284,174.419,87.368
6,168.75,583.544,146.218,152.263,273.256,94.737
7,84.375,489.451,184.874,121.399,255.814,95.789
8,171.875,445.992,537.815,150.206,552.326,113.684
9,109.375,270.886,309.244,185.185,534.884,108.421
10,103.125,163.291,190.756,139.918,360.645,106.316
